T_A[K] T_B[K] Setpoint[K] SR860x[V] SR860y[V] SR860f[Hz] SR860sin[V] SR860theta[deg] SR860phase[deg] SR860mag[V] HTR CNT DateTime
298.730000 298.820000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 43 2025-05-07_15:37:38.499623
298.740000 298.820000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 44 2025-05-07_15:37:43.579119
298.740000 298.810000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.33 90.00 0.000066 +000.0 45 2025-05-07_15:37:48.674265
298.740000 298.820000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 46 2025-05-07_15:37:53.762546
298.730000 298.820000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.33 90.00 0.000066 +000.0 47 2025-05-07_15:37:58.859399
298.730000 298.820000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 48 2025-05-07_15:38:03.930264
298.740000 298.810000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 49 2025-05-07_15:38:09.012465
298.730000 298.810000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.31 90.00 0.000066 +000.0 50 2025-05-07_15:38:14.084945
298.720000 298.820000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.36 90.00 0.000066 +000.0 51 2025-05-07_15:38:19.168628
298.730000 298.820000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.33 90.00 0.000066 +000.0 52 2025-05-07_15:38:24.266256
298.730000 298.820000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.33 90.00 0.000066 +000.0 53 2025-05-07_15:38:29.350992
298.730000 298.820000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 54 2025-05-07_15:38:34.448641
298.730000 298.810000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 55 2025-05-07_15:38:39.525871
298.740000 298.810000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 56 2025-05-07_15:38:44.615445
298.720000 298.810000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 57 2025-05-07_15:38:49.701532
298.730000 298.810000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.36 90.00 0.000066 +000.0 58 2025-05-07_15:38:54.786410
298.730000 298.820000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 59 2025-05-07_15:38:59.870457
298.730000 298.820000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 60 2025-05-07_15:39:04.958667
298.720000 298.820000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.36 90.00 0.000066 +000.0 61 2025-05-07_15:39:10.036033
298.730000 298.820000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 62 2025-05-07_15:39:15.114709
298.730000 298.810000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 63 2025-05-07_15:39:20.202108
298.730000 298.820000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 64 2025-05-07_15:39:25.272184
298.730000 298.810000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 65 2025-05-07_15:39:30.357623
