T_A[K] T_B[K] Setpoint[K] SR860x[V] SR860y[V] SR860f[Hz] SR860sin[V] SR860theta[deg] SR860phase[deg] SR860mag[V] HTR CNT DateTime
318.523000 316.975000 317.000000 -0.000497 0.000089 5032.00 0.800000 169.85 90.00 0.000505 +013.3 1 2025-05-06_16:52:39.293101
317.700000 316.245000 316.222000 -0.000497 0.000089 5032.00 0.800000 169.85 90.00 0.000505 +015.4 2 2025-05-06_16:57:09.918921
317.007000 315.501000 315.444000 -0.000497 0.000089 5032.00 0.800000 169.84 90.00 0.000505 +012.7 3 2025-05-06_17:02:35.687590
316.221000 314.720000 314.666000 -0.000497 0.000089 5032.00 0.800000 169.83 90.00 0.000505 +012.6 4 2025-05-06_17:08:01.447655
